Velocidad media
1,509799
1,509785
1,509924
1,506745
1,504982
1,505015
1,574791
1,51803
1,504881
1,537263
1,514472
1,519097
1,516488
1,540882
1,517094
1,51164
1,512612
1,504325
1,5092
1,497362
1,507613
1,50596
1,509312
1,498199
1,515264
1,506771
1,504657
1,511736
1,514085
1,515894
1,509208
1,507207
1,499896
1,506443
1,508808
1,475233
1,485869
1,508534
1,485728
1,49547
1,483055
1,518374
1,508467
1,496373
1,519034
1,504983
1,520234
1,521086
1,521146
1,52077
1,520709
1,521572
1,496972
1,518904
1,518904
1,519545
1,520231
1,520966
1,521355
1,520063
1,520063
1,518152
1,518547
1,518547
1,485626
1,51939
1,517515
1,517515
1,517515
1,481469
1,515931
1,516329
1,516329
1,516329
1,516329
1,516747
1,516747
