Numero de seres
500c 50z 1000p 
500c 50z 1005p 
496c 50z 1010p 
496c 50z 1000p 
496c 50z 986p 
496c 50z 972p 
495c 50z 954p 
493c 50z 941p 
492c 50z 922p 
490c 50z 912p 
488c 50z 890p 
488c 50z 875p 
486c 50z 865p 
482c 50z 842p 
482c 50z 834p 
482c 50z 820p 
481c 50z 804p 
478c 50z 780p 
475c 50z 775p 
472c 50z 769p 
472c 50z 753p 
470c 50z 746p 
470c 50z 737p 
469c 50z 729p 
469c 50z 718p 
469c 50z 710p 
467c 50z 703p 
465c 50z 687p 
465c 50z 678p 
464c 50z 674p 
463c 50z 670p 
462c 50z 663p 
462c 50z 659p 
460c 50z 651p 
459c 50z 644p 
