Numero de seres
500c 50z 1000p 
500c 50z 1005p 
499c 50z 1010p 
498c 50z 1004p 
497c 50z 985p 
497c 50z 968p 
496c 50z 950p 
495c 50z 941p 
494c 50z 925p 
493c 50z 906p 
491c 50z 896p 
488c 50z 884p 
486c 50z 873p 
484c 50z 861p 
483c 50z 843p 
481c 50z 832p 
480c 50z 824p 
479c 50z 814p 
478c 50z 800p 
477c 50z 786p 
476c 50z 775p 
474c 50z 761p 
473c 50z 749p 
473c 50z 736p 
472c 50z 722p 
472c 50z 716p 
471c 50z 705p 
470c 50z 695p 
470c 50z 685p 
469c 50z 677p 
468c 50z 675p 
467c 50z 667p 
463c 50z 661p 
461c 50z 653p 
461c 50z 648p 
461c 50z 646p 
459c 50z 635p 
459c 50z 632p 
458c 50z 629p 
458c 50z 628p 
458c 50z 627p 
