Numero de seres
500c 50z 1000p 
500c 50z 1005p 
499c 50z 1010p 
498c 50z 1005p 
497c 50z 986p 
496c 50z 970p 
495c 50z 959p 
495c 50z 943p 
494c 50z 930p 
492c 50z 911p 
489c 50z 904p 
487c 50z 889p 
486c 50z 880p 
483c 50z 864p 
483c 50z 855p 
480c 50z 845p 
479c 50z 828p 
479c 50z 814p 
478c 50z 805p 
477c 50z 786p 
476c 50z 777p 
475c 50z 768p 
473c 50z 761p 
