Numero de seres
500c 50z 1000p 
500c 50z 1005p 
500c 50z 1009p 
500c 50z 1007p 
497c 50z 993p 
497c 50z 973p 
497c 50z 957p 
496c 50z 948p 
496c 50z 933p 
494c 50z 914p 
494c 50z 908p 
492c 50z 894p 
490c 50z 877p 
489c 50z 858p 
487c 50z 835p 
486c 50z 820p 
484c 50z 803p 
484c 50z 783p 
483c 50z 777p 
482c 50z 761p 
482c 50z 751p 
482c 50z 736p 
481c 50z 727p 
480c 50z 719p 
480c 50z 712p 
